인증등급,시군구,시설명,인증대상,용도구분,lat,lon
최우수,강동구,시립강동 실버케어센터,건축물,노유자시설,37.55519617391407,127.14650577518248
우수,성북구,승가원행복마을,건축물,노유자시설,37.58848439562038,127.0285005842907
우수,도봉구,안골경로당,건축물,노유자시설,37.5359987855718,126.850763159141
우수,노원구,마들보건지소,건축물,업무시설,37.67146653577959,127.05526005827569
우수,성북구,길음종합사회복지관,건축물,노유자시설,37.60672357574987,127.02672270627642
우수,강서구,공항동 통합복지센터,건축물,노유자시설,37.5603664206354,126.808971275756
우수,구로구,항동생활체육관,건축물,운동시설,37.47720593392245,126.82297814129211
우수,동작구,사당지구대,건축물,제1종 근린생활시설,37.48078308592406,126.97929294145463
우수,도봉구,생태문화도서관,건축물,제1종 근린생활시설,34.93084276999375,127.51357553070521
우수,송파구,위례파출소,건축물,제1종 근린생활시설,37.47238279344787,127.14967663678625
우수,노원구,상계5동청사,건축물,업무시설,37.657491147599,127.067869910758
우수,금천구,남부도로사업소 청사,건축물,업무시설,37.4873699323826,126.890335123966
우수,영등포구,국회 의원회관,건축물,업무시설,37.529470279371,126.91432129227
우수,용산구,응봉근린공원 관리사무소,건축물,제1종 근린생활시설,37.5510430581253,127.02666660072282
우수,동대문구,힐스테이트 청량리역,건축물,업무시설,37.58304049825194,127.04821152373233
우수,강남구,강북장애인복지관,건축물,노유자시설,37.6287591955972,127.039092190282
일반,송파구,풍납2동 복합청사,건축물,업무시설,37.5399636499038,127.129775045602
우수,성북구,장위석관 보건지소,건축물,제1종 근린생활시설,37.6104729938999,127.063419211447
우수,관악구,관악청년청,건축물,업무시설,37.4823050237216,126.945666472534
우수,강남구,강남구 논현동 공공시설,건축물,업무시설,37.505062681233476,127.02459978430245
우수,강북구,강북구 보건지소,건축물,업무시설,37.63215963243327,127.03874277374506
우수,관악구,관악구 신사동 복합청사,건축물,업무시설,37.4815707566502,126.927328376717
우수,양천구,신월7동 복합청사,건축물,업무시설,37.51793277954851,126.84513992267983
우수,양천구,건강힐링문화관,건축물,업무시설,37.51757603387838,126.84586799599104
우수,도봉구,창1동 주민센터,건축물,업무시설,37.6484116203165,127.043814095683
우수,양천구,신목동역 LT삼보 지식산업센터 M.OK,건축물,업무시설,37.542148123480416,126.8836252944612
우수,도봉구,로봇과학관,건축물,문화 및 집회시설,37.65558389492251,127.04950609963961
일반,은평구,은평 어르신일자리 센터,건축물,노유자시설,37.5972279419124,126.914386337606
우수,동작구,신대방동 구립 지역아동센터,건축물,제1종 근린생활시설,37.48646794340178,126.90937389939423
우수,구로구,천왕동 청소년 문화의 집,건축물,수련시설,37.48394296709924,126.8401820905588
우수,영등포구,당산근린공원,공원,공원,37.009150650432,127.116322261139
우수,송파구,송파 마을활력소,건축물,제1종 근린생활시설,37.5483698037485,127.141676214781
우수,강남구,강남경찰서 삼성2파출소,건축물,제1종 근린생활시설,37.51233922529633,127.04330461830988
우수,성동구,성동구 송정동 공공복합청사,건축물,업무시설,37.55323549317563,127.0684203229326
우수,광진구,구의2동 복합청사,건축물,업무시설,37.54724298231726,127.08988373621973
우수,서대문구,리앤업사이클플라자,건축물,제1종 근린생활시설,37.559249628143654,127.15711745250859
우수,강북구,강북구 삼양동 주민센터,건축물,업무시설,37.62505194927626,127.01977394784163
우수,중구,서울도시건축전시관,건축물,문화 및 집회시설,37.56690492421112,126.97670535593808
우수,은평구,서울서부경찰서,건축물,업무시설,37.60215667958602,126.92131688777927
우수,강동구,둔촌2동 어르신사랑방,건축물,노유자시설,37.5311885564319,127.149212548431
우수,강남구,응봉근린공원(매봉산)  숲속도서관,건축물,제1종 근린생활시설,37.5459044761691,127.010806677868
우수,강서구,서울강서경찰서 화곡3파출소,건축물,제1종 근린생활시설,37.54102212848287,126.83408594025511
우수,노원구,수락산 스포츠 타운,건축물,운동시설,37.6683372262555,127.070817676836
우수,금천구,금천구 보훈회관,건축물,제1종 근린생활시설,37.4554199250938,126.908070929997
우수,도봉구,서울 사진미술관,건축물,문화 및 집회시설,37.655491325508656,127.04895074558063
최우수,노원구,서울 어울림체육센터,건축물,운동시설,37.6789587883523,127.05587662923
우수,금천구,금천청년꿈터,건축물,업무시설,37.46770801790798,126.89318422241664
일반,강동구,십자성 어르신 사랑방,건축물,노유자시설,37.54505691755517,127.13702369552122
최우수,강서구,등촌동 어울림 플라자,건축물,노유자시설,37.55352262319005,126.86137189443885
우수,강서구,마곡파출소,건축물,제1종 근린생활시설,37.56724493857,126.824259405617
일반,송파구,서울가락본동우체국,건축물,업무시설,37.4957408554359,127.121077026417
우수,광진구,아차산 숲속도서관,건축물,근린생활시설,37.552470702214045,127.10087870622709
우수,서대문구,서대문 공공산후조리원,건축물,제1종 근린생활시설,37.58481106289487,126.91396127503768
우수,동작구,상도2동 복합청사,건축물,업무시설,37.49935094848803,126.94140538430658
우수,동작구,본동 종합사회복지관,건축물,노유자시설,35.8334191893344,128.541832355612
우수,동작구,동작구 100세 데이케어센터,건축물,노유자시설,37.4868716744033,126.91066127662
우수,중랑구,묵2동 문화체육센터,건축물,운동시설,37.6095627896919,127.075971654442
우수,노원구,공릉구민체육센터,건축물,운동시설,37.6250109870372,127.081583342435
우수,성북구,종암경찰서,건축물,업무시설,37.603700560962736,127.04013000033655
우수,동작구,사당3동 주민센터,건축물,업무시설,37.486624643637,126.972085412956
우수,도봉구,쌍문2동 주민센터,건축물,업무시설,37.65990059931703,127.03971143841108
우수,강북구,국립재활원 장애인건강검진센터,건축물,의료시설,37.6393680464735,127.009997639307
우수,중랑구,묵2동 장미마을 작은 도서관,건축물,제1종 근린생활시설,37.6110138816103,127.075191653879
우수,관악구,관악구 장애인센터,건축물,노유자시설,37.48359158608432,126.93817612389381
우수,강남구,삼성1동 삼성경로당,건축물,노유자시설,37.5182590522911,127.053708030791
우수,구로구,구로5동 구민생활체육관,건축물,운동시설,37.5052301446652,126.892806196154
우수,용산구,용문동 어울림 센터,건축물,제1종 근린생활시설,36.31688365979436,127.39692182893477
우수,송파구,방이동 46-8 근린생활시설,건축물,제1종 근린생활시설,37.5162626788231,127.112700706507
우수,관악구,관악경찰서 당곡지구대,건축물,근린생활시설,37.488301942358206,126.93143767595832
우수,영등포구,대림2동 마을도서관,건축물,제1종 근린생활시설,37.5016097312279,126.905251492473
우수,성북구,성북구 리앤업사이클 플라자,건축물,제1종 근린생활시설,37.6055970839638,127.047569232261
우수,관악구,관악경찰서 신사지구대,건축물,제1종 근린생활시설,37.4872851551182,126.914197626872
우수,은평구,불광제2동 복합청사,건축물,업무시설,37.63494325110931,126.92075891171629
우수,영등포구,서울영등포우체국,건축물,업무시설,37.52966096279484,126.89494568601619
우수,강서구,방화동 주민센터,건축물,업무시설,37.5703442238538,126.817052873862
우수,도봉구,도봉동 청소년 문화의집,건축물,수련시설,37.6843073194489,127.04685761477
우수,광진구,광진구 평생학습센터,건축물,제1종 근린생활시설,37.5352980522507,127.080412916787
우수,은평구,은평구 가족센터,건축물,노유자시설,37.6042702502772,126.92963720267187
우수,성동구,대현산 책쉼터,건축물,제1종 근린생활시설,37.553172456582836,127.02904505934495
우수,영등포구,신길6동 공공문화복합센터,건축물,노유자시설,37.5013865135244,126.918877059856
우수,금천구,금천어울림복지센터,건축물,노유자시설,37.456985400276,126.897617612826
우수,광진구,광진구 경제허브센터,건축물,업무시설,37.544948411563,127.082084432748
우수,동대문구,감초마을 주민사랑방,건축물,제1종 근린생활시설,37.5850795496716,127.035161045022
우수,동작구,동작구 가족센터,건축물,노유자시설,37.506892194352204,126.95091572493901
우수,구로구,서울구로경찰서 청사,건축물,업무시설,37.5070387936593,126.890224925815
우수,광진구,군자동 복합청사,건축물,업무시설,37.55544051994925,127.07535080987094
우수,강서구,강서경찰서 곰달래지구대,건축물,제1종 근린생활시설,37.5328945086166,126.863134325799
우수,양천구,갈산문화예술센터,건축물,문화 및 집회시설,37.5108045060079,126.870199674635
우수,금천구,금천 진로진학지원센터,건축물,제1종 근린생활시설,37.4765547883751,126.907875466635
우수,도봉구,서울아레나 복합문화시설,건축물,문화 및 집회시설,37.65566624967642,127.05076633149451
우수,영등포구,대림3동 마을도서관,건축물,제1종 근린생활시설,37.5016097312279,126.905251492473
우수,서대문구,홍제 커뮤니티센터,건축물,노유자시설,37.5878201602544,126.94732443324571
일반,은평구,갈현청소년센터,건축물,노유자시설,37.6254018183573,126.91944140812625
우수,서대문구,국립대한민국임시정부기념관,건축물,문화 및 집회시설,37.576093084729884,126.95443515080136
우수,강남구,서울출입국 외국인청,건축물,업무시설,37.5192047461847,126.869551661402
우수,동작구,시립발달장애인복지관 별관,건축물,노유자시설,37.4904305094448,126.917913071235
우수,성북구,돈암1동 주민센터 공용청사,건축물,업무시설,37.6032350599381,127.026198036694
우수,강서구,남북통합문화센터,건축물,업무시설,37.56176216488544,126.82111448565156
우수,양천구,신월6동 행정복합타운,건축물,업무시설,37.51797962117079,126.84513190771504
우수,서대문구,북가좌동 지구대,건축물,제1종 근린생활시설,37.581323498326014,126.91056664991731
우수,서대문구,북가좌2동 복합청사,건축물,업무시설,37.5902576185975,126.908060459382
우수,성북구,성북 근현대 문학관,건축물,문화 및 집회시설,37.5925026210951,126.997046975971
우수,강남구,나라키움 역삼동 A빌딩,건축물,업무시설,37.5046663533126,127.045477296598
우수,강남구,나라키움 역삼동 B빌딩,건축물,업무시설,37.50432384068583,127.04581524627811
일반,서초구,서초동 1592-11 민간임대주택 (지역아동센터),건축물,제1종 근린생활시설,37.486327448212,127.011373837657
우수,강서구,강서경찰서 염창지구대,건축물,제2종 근린생활시설,37.55551635572225,126.87157530869875
우수,강동구,둔촌동 489 역세권 활성화사업(둔촌2동 주민복합센터),건축물,제1종 근린생활시설,37.5305777050009,127.137847531375
우수,강북구,삼선동 아동청소년 전용도서관,건축물,제1종 근린생활시설,37.58578523327942,127.01114077647458
우수,성동구,성동아이사랑복합문화센터,건축물,노유자시설,37.55283453951333,127.02531712801905
우수,종로구,종로경찰서 청사,건축물,업무시설,37.57494148278842,126.97514065344677
우수,노원구,중계온마을센터,건축물,노유자시설,37.6585869045826,127.073607658346
우수,도봉구,창동 아우르네,건축물,업무시설,37.65533854282284,127.048015715778
우수,성동구,행복가득 플랫폼,건축물,제1종 근린생활시설,37.5510574010179,127.067515261554
우수,마포구,마포구 신촌(노고산동)주상복합,건축물,근린생활시설,37.5541247717136,126.934752188411
우수,영등포구,영등포구 어울림센터,건축물,노유자시설,37.5201204369578,126.897202231635
최우수,서초구,서초종합체육관,건축물,운동시설,37.45895034286056,127.04230629541324
우수,송파구,송파서 거여파출소,건축물,제1종 근린생활시설,37.48747707528384,127.14264548530629
우수,서대문구,북가좌파출소,건축물,제1종 근린생활시설,37.581323498326014,126.91056664991731
우수,강동구,강동구 상일2동 주민센터,건축물,업무시설,37.5473255085675,127.182177262022
우수,동작구,서울동작구경찰서 남성지구대,건축물,제1종 근린생활시설,37.496991655387255,126.98133304515109
우수,성북구,월곡 복합체육센터,건축물,운동시설,37.6029229176731,127.037665366321
우수,강남구,도곡1경로당,건축물,노유자시설,35.013937449437,126.920519496461
우수,노원구,하계어울림센터,건축물,제1종 근린생활시설,37.63601714784207,127.07234933520431
일반,중랑구,묵2동 장미마을 어르신문화센터,건축물,제1종 근린생활시설,37.612149001114,127.075389867747
우수,강북구,빨래골 생활문화 공작소,건축물,제1종 근린생활시설,37.627590288897,127.010819626435
우수,관악구,미성동 복합청사,건축물,업무시설,37.4815707566502,126.927328376717
우수,중랑구,면목 7동 복합청사,건축물,업무시설,37.5885933100535,127.101500688631
우수,영등포구,신길6동 주민센터,건축물,업무시설,37.49939048768285,126.90976992694576
우수,용산구,용산구 한남동 청소년 수련시설,건축물,수련시설,37.5173601499749,126.983880996526
우수,강서구,내발산 복합복지센터,건축물,노유자시설,37.5541651778197,126.840103549736
우수,중구,한양도성 유적전시관,건축물,문화 및 집회시설,37.5539044309214,126.981776069813
우수,구로구,항동복합행정센터,건축물,업무시설,37.47905227871338,126.82249668160301
우수,강서구,봉제산 책쉼터,건축물,제1종 근린생활시설,37.53984266526478,126.87331301927301
우수,관악구,관악가족행복센터,건축물,노유자시설,37.48242938928024,126.91638642832113
우수,성북구,북한산국립공원사무소,건축물,업무시설,37.62149907414031,126.99430914376245
우수,종로구,종로서 삼청파출소,건축물,제1종 근린생활시설,37.582343410148546,126.98146232975908
우수,영등포구,나라키움 영등포 복합청사,건축물,업무시설,37.528294479947,126.908331151151
우수,양천구,양천보육타운,건축물,노유자시설,37.510972533208886,126.86896652720351
우수,은평구,서울갈현우체국,건축물,근린생활시설,37.61369398864865,126.91255527916822
우수,성동구,서울숲 복합문화체육센터,건축물,운동시설,37.549222352700916,127.04153116737272
우수,동대문구,힐스테이트청량리역,건축물,업무시설,37.58304049825194,127.04821152373233
우수,강서구,서울마곡우체국,건축물,제1종 근린생활시설,37.5588250757577,126.831006503064
우수,은평구,한국기독교역사문화관,건축물,문화 및 집회시설,37.62970744469556,126.92896749899384
우수,영등포구,영등포구 대림동 993-15 역세권 활성화사업(공공기여시설),건축물,업무시설,37.4865911883625,126.90355339182
우수,강북구,수유보건지소,건축물,업무시설,37.6334026900227,127.01722710217
우수,마포구,서울 성산동 우체국,건축물,근린생활시설,37.5634051686953,126.913870449557
우수,강동구,상일1동 주민자치센터,건축물,업무시설,37.5463797794216,127.182670938581
우수,중랑구,장미마을 소망작은도서관,건축물,제1종 근린생활시설,37.6110138816103,127.075191653879
우수,도봉구,씨드큐브 창동,건축물,업무시설,37.65460615844356,127.04991114925703
우수,강북구,수유동우체국,건축물,제1종 근린생활시설,37.64492286100467,127.01595390334386
우수,동대문구,서울이문동우체국,건축물,제1종 근린생활시설,37.5985252239218,127.061223564968
우수,강남구,개포17 근린공원,공원,공원,37.4868500177119,127.07077038049
우수,구로구,서울시50플러스 남부캠퍼스,건축물,노유자시설,37.48856097997178,126.84178127102444
우수,영등포구,영등포역 파출소,건축물,제1종 근린생활시설,37.5180152243728,126.907533810983
우수,강서구,등촌2동 주민센터,건축물,업무시설,37.5426660086959,126.862495249878
우수,동작구,사당 지구대,건축물,제1종 근린생활시설,37.48078308592406,126.97929294145463
우수,서대문구,북아현동 동심경로당,건축물,노유자시설,37.55739060153561,126.94878772698934
우수,중랑구,방정환교육지원센터,건축물,노유자시설,37.597443107584,127.088291961641
우수,종로구,종로경찰서 사직파출소,건축물,제1종 근린생활시설,37.576555522596415,126.96903608743463
우수,은평구,은평 세무서,건축물,업무시설,37.6087758924169,126.933955867093
우수,강동구,강동세무서 청사,건축물,업무시설,37.5400528518278,127.128122078525
우수,강서구,강서아트리움,건축물,문화 및 집회시설,37.537540137403894,126.83759326633412
우수,중랑구,묵2동 문화체육복합센터,건축물,업무시설,37.6095627896919,127.075971654442
우수,강동구,강동구 성내동 176-3 경로당,건축물,노유자시설,37.5349799988598,127.131522378369
우수,양천구,목동깨비시장 고객주차장 & 공유센터,건축물,노유자시설,37.5482743417005,126.863719550401
우수,송파구,잠실본동 복합청사,건축물,업무시설,37.5060639926799,127.0831954462
우수,종로구,서울안국동우체국,건축물,제1종 근린생활시설,37.5764694055385,126.984793149954
우수,영등포구,영등포경찰서 대림3파출소,건축물,제1종 근린생활시설,37.498987789659814,126.89663749594438
우수,강남구,학리시니어센터,건축물,노유자시설,37.5185794881591,127.038348015412
우수,구로구,구로경찰서 구로3파출소,건축물,제1종 근린생활시설,37.4866789120743,126.89136732778
우수,영등포구,조롱박작은도서관,건축물,제1종 근린생활시설,37.49096619997711,126.90532260707796
우수,양천구,신월7동주민센터,건축물,업무시설,37.52422139866548,126.83296361144711
우수,강서구,화곡동 369-41 초등돌봄시설,건축물,제1종 근린생활시설,37.5354790637113,126.840407870297
우수,성북구,서울 의릉 역사문화관,건축물,문화 및 집회시설,37.6038869047302,127.059686671449
우수,강남구,강남세곡체육공원,공원,공원,37.466778594856834,127.11314127633585
우수,양천구,모새미 작은 도서관,건축물,제1종 근린생활시설,37.5334685529303,126.867173508215
우수,강서구,마곡안전체험관,건축물,문화 및 집회시설,37.555298853620194,126.8250117702508
우수,서대문구,가재울 청소년센터,건축물,수련시설,37.5751150531236,126.918450745834
우수,은평구,국립한국문학관,건축물,문화 및 집회시설,37.63329349152351,126.93712332462671
우수,강동구,성내동 소공원,공원,공원,37.5163080125394,127.112023786379
우수,서대문구,서대문구 공공산후조리원,건축물,제1종 근린생활시설,37.58481106289487,126.91396127503768
우수,금천구,금천세무서청사,건축물,업무시설,37.4808207283692,126.882145537599
우수,마포구,성산동 우체국,건축물,근린생활시설,37.5634051686953,126.913870449557
우수,중구,메리츠강북타워,건축물,업무시설,37.559245458852175,126.97211266922102
우수,중구,다동근린공원,공원,공원,37.569074693516065,126.97759212096156
우수,관악구,관악구 장애인 행복센터,건축물,노유자시설,37.478691479250756,126.95069336378401
우수,강서구,강서구 통합신청사,건축물,업무시설,37.5612878606329,126.823254760441
우수,강동구,서울명일동우체국,건축물,제1종 근린생활시설,37.5499322830532,127.145991887548
우수,관악구,서울신림동우체국,건축물,제1종 근린생활시설,37.46916198464332,126.94005548191083
우수,강서구,강서경찰서 염창지구대,건축물,제1종 근린생활시설,37.55551635572225,126.87157530869875
우수,은평구,서울갈현동우체국,건축물,근린생활시설,37.61369398864865,126.91255527916822
우수,광진구,광진구 구의동 246-10 청년주택 내 공공청사,건축물,근린생활시설,37.537365912791,127.08495308372
우수,노원구,상계예술마당,건축물,문화 및 집회시설,37.6557645685566,127.068385103098
우수,성동구,성동경찰서 용답파출소,건축물,제1종 근린생활시설,37.5647875342925,127.051785537375
우수,양천구,신월1동 월성경로당,건축물,노유자시설,37.5318740242242,126.835837212315
일반,중랑구,플라이쿱 면목,건축물,제2종 근린생활시설,37.5571076026411,127.072083970084
